TP53 Background,Test Condition,Gene Name,Number of cell lines sampled in each bootstrap,Number of test condition cell lines,Number of wild type cell lines,Total,BM mean in test condition,BM mean in wild-type condition,Difference,Absolute Difference,Two-sided t-test p-value,Bonferroni corrected p-value
lof,lof,TCF3,20,93,165,258,0.5777,0.5685,0.0092,0.0092,,
lof,lof,ABRAXAS1,20,58,206,264,0.5802,0.571,0.0092,0.0092,,
lof,lof,HSD17B2,20,57,170,227,0.5611,0.5703,-0.0092,0.0092,,
wt,amp,SPOP,20,56,205,261,0.5676,0.5584,0.0092,0.0092,,
wt,lof,CD274,20,46,192,238,0.5537,0.5629,-0.0092,0.0092,,
lof,amp,RUNX1,20,30,177,207,0.5604,0.5696,-0.0092,0.0092,,
lof,lof,LTB,20,26,197,223,0.563,0.5722,-0.0092,0.0092,,
wt,amp,SPRTN,20,81,176,257,0.5646,0.5555,0.0091,0.0091,,
lof,lof,CDH1,20,52,168,220,0.5614,0.5705,-0.0091,0.0091,,
lof,lof,TCF7L2,20,52,198,250,0.5619,0.571,-0.0091,0.0091,,
lof,amp,SFRP1,20,50,152,202,0.5755,0.5664,0.0091,0.0091,,
lof,amp,IRS2,20,43,133,176,0.5613,0.5704,-0.0091,0.0091,,
wt,lof,PPARG,20,31,220,251,0.5656,0.5565,0.0091,0.0091,,
wt,amp,FES,20,30,217,247,0.5694,0.5604,0.0091,0.0091,,
lof,amp,BCL2L11,20,26,232,258,0.5809,0.5719,0.0091,0.0091,,
wt,amp,GNA12,20,96,159,255,0.564,0.555,0.009,0.009,,
wt,amp,RIT1,20,89,172,261,0.5654,0.5564,0.009,0.009,,
wt,amp,XRCC2,20,88,157,245,0.5593,0.5503,0.009,0.009,,
lof,amp,PAK1,20,74,165,239,0.5823,0.5733,0.009,0.009,,
lof,lof,EPHA7,20,62,172,234,0.5644,0.5734,-0.009,0.009,,
lof,lof,RRAS2,20,54,192,246,0.5621,0.5711,-0.009,0.009,,
lof,amp,KLF4,20,44,183,227,0.5819,0.5729,0.009,0.009,,
lof,lof,SMO,20,37,158,195,0.5794,0.5705,0.009,0.009,,
lof,lof,BRD3,20,36,188,224,0.5626,0.5716,-0.009,0.009,,
lof,amp,ARID3B,20,33,203,236,0.5665,0.5756,-0.009,0.009,,
lof,lof,H1-5,20,32,201,233,0.5643,0.5734,-0.009,0.009,,
lof,amp,KSR2,20,28,212,240,0.5613,0.5703,-0.009,0.009,,
lof,amp,LCK,20,27,196,223,0.566,0.575,-0.009,0.009,,
wt,amp,PLEKHA6,20,86,158,,0.5638,0.5549,0.0089,0.008933385,,
lof,amp,TOP1,20,122,148,270,0.5768,0.5679,0.0089,0.0089,,
lof,lof,U2AF1,20,72,176,248,0.5805,0.5715,0.0089,0.0089,,
lof,amp,GATA2,20,63,200,263,0.5763,0.5674,0.0089,0.0089,,
lof,lof,CMTR2,20,53,175,228,0.5634,0.5723,-0.0089,0.0089,,
wt,amp,CDK12,20,25,227,252,0.5676,0.5588,0.0089,0.0089,,
wt,amp,SOX13,20,87,169,,0.5629,0.5540,0.0088,0.00882672,,
wt,lof,STAG2,20,164,84,248,0.5642,0.5553,0.0088,0.0088,,
lof,amp,DCUN1D1,20,92,175,267,0.5789,0.5701,0.0088,0.0088,,
lof,lof,TGFBR2,20,80,168,248,0.5778,0.569,0.0088,0.0088,,
lof,lof,NKX2-1,20,44,179,223,0.5761,0.5673,0.0088,0.0088,,
lof,amp,HDAC7,20,35,214,249,0.5783,0.5694,0.0088,0.0088,,
lof,lof,BARD1,20,34,216,250,0.5621,0.5709,-0.0088,0.0088,,
lof,amp,GNA13,20,97,164,261,0.5764,0.5677,0.0087,0.0087,,
lof,amp,BTG2,20,81,188,269,0.5672,0.5758,-0.0087,0.0087,4.34E-11,5.20E-10
lof,amp,EPHA3,20,37,174,211,0.579,0.5703,0.0087,0.0087,,
wt,amp,CCND3,20,33,214,247,0.565,0.5563,0.0087,0.0087,,
lof,amp,FMOD,20,81,182,,0.5655,0.5741,-0.0086,0.008601842,,
lof,amp,UBR5,20,95,158,253,0.5798,0.5712,0.0086,0.0086,,
wt,amp,NCSTN,20,88,167,255,0.5651,0.5565,0.0086,0.0086,,
lof,lof,FLI1,20,68,156,224,0.5786,0.5701,0.0086,0.0086,,
lof,amp,SDHD,20,53,156,209,0.5816,0.573,0.0086,0.0086,,
lof,amp,DUSP22,20,46,179,225,0.5669,0.5755,-0.0086,0.0086,,
lof,lof,ARID3B,20,34,203,237,0.5842,0.5756,0.0086,0.0086,,
wt,lof,SPEN,20,33,183,216,0.5654,0.5568,0.0086,0.0086,,
lof,amp,RAB35,20,30,230,260,0.5644,0.573,-0.0086,0.0086,,
lof,amp,ATF1,20,28,226,254,0.5798,0.5712,0.0086,0.0086,,
lof,lof,VEGFA,20,26,204,230,0.5803,0.5717,0.0086,0.0086,,
lof,amp,PIK3C2B,20,79,172,,0.5648,0.5733,-0.0085,0.008517653,,
wt,amp,KMT2C,20,87,132,219,0.561,0.5525,0.0085,0.0085,,
lof,lof,PTPN2,20,65,159,224,0.5598,0.5683,-0.0085,0.0085,,
lof,lof,IFNGR1,20,61,180,241,0.5647,0.5732,-0.0085,0.0085,,
lof,amp,NOTCH1,20,51,164,215,0.5808,0.5723,0.0085,0.0085,,
lof,amp,CD58,20,49,191,240,0.5763,0.5678,0.0085,0.0085,,
lof,lof,KLF4,20,41,183,224,0.5644,0.5729,-0.0085,0.0085,,
lof,lof,ERBB4,20,32,214,246,0.5635,0.572,-0.0085,0.0085,,
lof,amp,SETDB2,20,31,147,178,0.5642,0.5727,-0.0085,0.0085,,
wt,amp,PPP1R15B,20,87,171,,0.5629,0.5544,0.0085,0.008488373,,
wt,lof,DDX3X,20,165,91,256,0.5602,0.5519,0.0084,0.0084,,
lof,lof,FOXF1,20,59,173,232,0.5641,0.5724,-0.0084,0.0084,,
wt,amp,PRELP,20,87,174,,0.5621,0.5538,0.0083,0.008314186,,
lof,lof,FANCC,20,48,181,229,0.5744,0.5661,0.0083,0.0083,,
lof,amp,STK19,20,48,190,238,0.5748,0.5665,0.0083,0.0083,,
lof,lof,WT1,20,39,196,235,0.5603,0.5686,-0.0083,0.0083,,
lof,amp,SDHB,20,27,190,217,0.564,0.5723,-0.0083,0.0083,,
wt,amp,ABL2,20,86,159,245,0.5616,0.5534,0.0082,0.0082,,
lof,amp,SLFN11,20,51,171,222,0.576,0.5679,0.0082,0.0082,,
wt,amp,GLI1,20,35,217,252,0.568,0.5598,0.0082,0.0082,,
lof,amp,IGF1,20,31,225,256,0.5644,0.5726,-0.0082,0.0082,,
wt,lof,TCF7L2,20,29,214,243,0.5645,0.5562,0.0082,0.0082,,
wt,lof,KDM5C,20,164,86,250,0.5627,0.5546,0.0081,0.0081,,
wt,lof,PHF6,20,164,95,259,0.5644,0.5563,0.0081,0.0081,,
lof,lof,ATP6V1B2,20,114,136,250,0.5784,0.5703,0.0081,0.0081,,
lof,amp,SETDB1,20,95,171,266,0.5762,0.5681,0.0081,0.0081,,
wt,lof,BCR,20,39,195,234,0.552,0.5601,-0.0081,0.0081,,
lof,lof,BRAF,20,33,155,188,0.5773,0.5692,0.0081,0.0081,,
wt,lof,VHL,20,33,211,244,0.5653,0.5572,0.0081,0.0081,,
lof,lof,CREB1,20,28,232,260,0.5625,0.5706,-0.0081,0.0081,,
wt,lof,MRE11,20,28,209,237,0.565,0.5569,0.0081,0.0081,,
wt,amp,SNRPE,20,86,177,,0.5625,0.5545,0.0080,0.00804701,,
lof,amp,CBL,20,51,153,204,0.5642,0.5721,-0.008,0.008,,
lof,amp,CBFB,20,48,182,230,0.5804,0.5724,0.008,0.008,,
wt,lof,ARID1B,20,47,179,226,0.5631,0.5551,0.008,0.008,,
lof,amp,BRD3,20,45,188,233,0.5796,0.5716,0.008,0.008,,
lof,lof,RRAS,20,39,186,225,0.5668,0.5748,-0.008,0.008,,
lof,amp,TGFBR1,20,35,192,227,0.5795,0.5715,0.008,0.008,,
lof,amp,NSD2,20,28,170,198,0.5826,0.5746,0.008,0.008,,
lof,amp,OPTC,20,81,182,,0.5655,0.5735,-0.0080,0.007975039,,
wt,lof,BCOR,20,165,83,248,0.5601,0.5522,0.0079,0.0079,,
lof,amp,CD276,20,35,201,236,0.5669,0.5748,-0.0079,0.0079,,
wt,amp,GOLT1A,20,87,173,,0.5629,0.5550,0.0078,0.007829149,,
lof,amp,SOX9,20,91,166,257,0.5788,0.571,0.0078,0.0078,,
wt,amp,SMYD3,20,81,168,249,0.5597,0.5519,0.0078,0.0078,,
lof,lof,NTRK2,20,56,185,241,0.5752,0.5674,0.0078,0.0078,,
wt,lof,ATM,20,55,178,233,0.5682,0.5605,0.0078,0.0078,,
lof,lof,HDAC4,20,48,198,246,0.5685,0.5763,-0.0078,0.0078,,
lof,lof,ARID5B,20,42,184,226,0.562,0.5699,-0.0078,0.0078,,
wt,lof,ERRFI1,20,37,223,260,0.5661,0.5583,0.0078,0.0078,,
wt,amp,ERCC5,20,32,183,215,0.5667,0.5589,0.0078,0.0078,,
lof,amp,DUSP4,20,28,134,162,0.5767,0.5689,0.0078,0.0078,,
lof,amp,NTHL1,20,26,198,224,0.575,0.5673,0.0078,0.0078,,
wt,amp,KISS1,20,87,176,,0.5629,0.5551,0.0078,0.007773523,,
lof,amp,EGFR,20,119,141,260,0.5795,0.5718,0.0077,0.0077,,
wt,amp,PMS2,20,97,162,259,0.5633,0.5556,0.0077,0.0077,,
lof,amp,BAALC,20,96,166,262,0.5813,0.5736,0.0077,0.0077,,
lof,amp,PARP1,20,82,177,259,0.5696,0.5773,-0.0077,0.0077,,
lof,amp,ELF3,20,81,180,261,0.5682,0.5759,-0.0077,0.0077,,
lof,lof,XBP1,20,75,170,245,0.5626,0.5703,-0.0077,0.0077,,
lof,lof,EWSR1,20,73,166,239,0.5652,0.5729,-0.0077,0.0077,,
lof,amp,ERCC5,20,41,143,184,0.5618,0.5696,-0.0077,0.0077,,
wt,amp,NRG1,20,28,176,204,0.5616,0.5539,0.0077,0.0077,,
lof,amp,RAD51,20,26,211,237,0.5794,0.5717,0.0077,0.0077,,
wt,amp,REN,20,87,173,,0.5629,0.5552,0.0076,0.007644545,,
lof,amp,INHBA,20,112,148,260,0.577,0.5694,0.0076,0.0076,,
wt,amp,DDR2,20,89,163,252,0.5644,0.5569,0.0076,0.0076,,
lof,amp,ATM,20,52,142,194,0.5803,0.5727,0.0076,0.0076,,
lof,lof,CCND2,20,39,183,222,0.575,0.5675,0.0076,0.0076,,
wt,amp,STAT3,20,25,224,249,0.5643,0.5567,0.0076,0.0076,,
lof,amp,CREBBP,20,26,177,203,0.578,0.5706,0.0075,0.0075,,
lof,amp,ZC3H11A,20,80,182,,0.5655,0.5729,-0.0074,0.007439475,,
lof,lof,BCL2,20,128,115,243,0.5754,0.568,0.0074,0.0074,,
lof,lof,SESN2,20,64,185,249,0.5787,0.5713,0.0074,0.0074,,
wt,lof,AJUBA,20,38,200,238,0.5644,0.557,0.0074,0.0074,,
lof,lof,CXCR4,20,31,226,257,0.5625,0.5699,-0.0074,0.0074,,
wt,lof,FGFR2,20,29,204,233,0.5621,0.5547,0.0074,0.0074,,
lof,amp,PRKCI,20,99,170,269,0.5782,0.5709,0.0073,0.0073,,
lof,lof,FLT1,20,91,146,237,0.5772,0.5699,0.0073,0.0073,,
lof,amp,COP1,20,88,178,266,0.5682,0.5755,-0.0073,0.0073,,
wt,amp,RNF43,20,63,185,248,0.5635,0.5562,0.0073,0.0073,,
lof,lof,BCL3,20,44,185,229,0.5769,0.5696,0.0073,0.0073,,
lof,lof,LMO2,20,41,196,237,0.5643,0.5716,-0.0073,0.0073,,
lof,amp,RNASEH2B,20,31,149,180,0.5646,0.5719,-0.0073,0.0073,,
wt,amp,NKX3-1,20,26,182,208,0.5626,0.5552,0.0073,0.0073,,
wt,amp,ATP2B4,20,87,167,,0.5625,0.5552,0.0073,0.007260403,,
wt,amp,SOCS3,20,57,201,258,0.564,0.5568,0.0072,0.0072,,
wt,lof,REV3L,20,39,191,230,0.5591,0.5519,0.0072,0.0072,,
wt,amp,AKT1,20,26,192,218,0.5542,0.5613,-0.0072,0.0072,,
wt,amp,ETNK2,20,87,170,,0.5629,0.5557,0.0072,0.007181075,,
lof,lof,RUNX1,20,67,177,244,0.5767,0.5696,0.0071,0.0071,,
lof,lof,CDC42,20,64,187,251,0.5769,0.5698,0.0071,0.0071,,
wt,lof,RAF1,20,31,215,246,0.566,0.5589,0.0071,0.0071,,
lof,amp,SMAD2,20,27,119,146,0.5778,0.5707,0.0071,0.0071,,
lof,amp,RPS6KB2,20,77,175,252,0.5756,0.5686,0.007,0.007,,
lof,lof,BCL11B,20,41,181,222,0.5643,0.5713,-0.007,0.007,,
lof,amp,ECT2L,20,32,174,206,0.5673,0.5742,-0.007,0.007,,
lof,amp,PTPN11,20,29,226,255,0.5672,0.5742,-0.007,0.007,,
wt,lof,DUSP22,20,25,197,222,0.5644,0.5575,0.007,0.007,,
wt,amp,FMOD,20,87,175,,0.5621,0.5552,0.0070,0.006956889,,
lof,amp,RAC1,20,120,138,258,0.5771,0.5702,0.0069,0.0069,,
lof,amp,MCL1,20,93,177,270,0.5764,0.5694,0.0069,0.0069,,
wt,amp,GNA13,20,64,191,255,0.5614,0.5544,0.0069,0.0069,,
lof,lof,RAD51,20,38,211,249,0.5786,0.5717,0.0069,0.0069,,
lof,amp,SYK,20,36,177,213,0.5802,0.5733,0.0069,0.0069,,
wt,lof,CRKL,20,34,210,244,0.5507,0.5576,-0.0069,0.0069,,
lof,amp,SH2B3,20,27,223,250,0.5685,0.5754,-0.0069,0.0069,,
wt,amp,ETV1,20,97,154,251,0.5614,0.5546,0.0068,0.0068,,
wt,amp,RHEB,20,88,160,248,0.5583,0.5515,0.0068,0.0068,,
lof,lof,PHF19,20,36,190,226,0.5649,0.5717,-0.0068,0.0068,,
lof,amp,MAP2K1,20,30,217,247,0.5793,0.5725,0.0068,0.0068,,
wt,amp,INTS6,20,25,196,221,0.5625,0.5557,0.0068,0.0068,,
lof,lof,BTK,20,181,81,262,0.5755,0.5688,0.0067,0.0067,,
wt,amp,MDM4,20,87,174,261,0.5611,0.5544,0.0067,0.0067,1.68E-11,2.02E-10
lof,amp,MSI2,20,82,174,256,0.5768,0.5701,0.0067,0.0067,,
lof,lof,ECSIT,20,63,189,252,0.5778,0.5711,0.0067,0.0067,,
lof,amp,CCND3,20,44,207,251,0.5753,0.5687,0.0067,0.0067,,
wt,lof,FAS,20,26,222,248,0.5687,0.562,0.0067,0.0067,,
wt,amp,PIK3CG,20,91,152,243,0.5525,0.559,-0.0066,0.0066,,
lof,lof,ECT2L,20,65,174,239,0.5676,0.5742,-0.0066,0.0066,,
lof,amp,IRF4,20,46,179,225,0.5669,0.5735,-0.0066,0.0066,,
lof,amp,ERF,20,44,180,224,0.5678,0.5743,-0.0066,0.0066,,
lof,amp,CHTF8,20,43,183,226,0.5829,0.5763,0.0066,0.0066,,
lof,lof,PPP6C,20,40,194,234,0.5654,0.572,-0.0066,0.0066,,
lof,lof,NUP214,20,39,177,216,0.5656,0.5722,-0.0066,0.0066,,
lof,lof,NOTCH1,20,33,164,197,0.5657,0.5723,-0.0066,0.0066,,
lof,amp,HDAC1,20,27,198,225,0.566,0.5726,-0.0066,0.0066,,
lof,amp,SPRED1,20,27,208,235,0.5798,0.5731,0.0066,0.0066,,
lof,amp,POLE,20,25,202,227,0.5733,0.5667,0.0066,0.0066,,
lof,amp,TSC2,20,25,185,210,0.575,0.5684,0.0066,0.0066,,
lof,amp,PMS2,20,116,138,254,0.577,0.5705,0.0065,0.0065,,
lof,lof,FOXO1,20,94,145,239,0.5781,0.5716,0.0065,0.0065,,
lof,amp,NTRK1,20,88,176,264,0.5715,0.578,-0.0065,0.0065,,
wt,amp,MEF2D,20,88,172,260,0.5647,0.5582,0.0065,0.0065,,
lof,amp,PAK5,20,80,154,234,0.5772,0.5707,0.0065,0.0065,,
lof,lof,SFRP2,20,65,192,257,0.5744,0.568,0.0065,0.0065,,
wt,amp,RAD51C,20,64,196,260,0.5631,0.5566,0.0065,0.0065,,
lof,lof,TYK2,20,63,177,240,0.5778,0.5713,0.0065,0.0065,,
lof,lof,INPP4B,20,56,196,252,0.5756,0.5691,0.0065,0.0065,,
lof,amp,H1-3,20,44,197,241,0.5687,0.5753,-0.0065,0.0065,,
lof,lof,RASA1,20,32,206,238,0.5755,0.5691,0.0065,0.0065,,
lof,amp,SMG1,20,30,192,222,0.5738,0.5673,0.0065,0.0065,,
lof,amp,DDR2,20,96,173,269,0.5696,0.5759,-0.0064,0.0064,,
wt,amp,BTG2,20,87,173,260,0.5593,0.5529,0.0064,0.0064,1.01E-07,1.22E-06
lof,lof,CHEK2,20,79,167,246,0.5651,0.5715,-0.0064,0.0064,,
lof,lof,SHOC2,20,53,205,258,0.566,0.5724,-0.0064,0.0064,,
lof,amp,RRAS,20,49,186,235,0.5683,0.5748,-0.0064,0.0064,,
lof,amp,NTRK3,20,47,187,234,0.5759,0.5695,0.0064,0.0064,,
lof,amp,TCL1A,20,44,187,231,0.5771,0.5707,0.0064,0.0064,,
wt,amp,LGR5,20,31,215,246,0.567,0.5606,0.0064,0.0064,,
wt,amp,IKBKE,20,86,174,260,0.5614,0.5551,0.0063,0.0063,,
lof,amp,TRAF3,20,44,182,226,0.5778,0.5716,0.0063,0.0063,,
lof,amp,ETNK2,20,80,186,,0.5665,0.5727,-0.0063,0.006266383,,
wt,lof,KDM6A,20,166,87,253,0.559,0.5528,0.0062,0.0062,,
wt,lof,RBM10,20,164,88,252,0.5628,0.5567,0.0062,0.0062,,
lof,amp,AXIN2,20,96,162,258,0.5762,0.57,0.0062,0.0062,,
lof,amp,YAP1,20,72,155,227,0.579,0.5728,0.0062,0.0062,,
lof,lof,TCL1B,20,42,185,227,0.567,0.5732,-0.0062,0.0062,,
wt,amp,HMGA1,20,29,220,249,0.5626,0.5564,0.0062,0.0062,,
lof,amp,USP8,20,26,212,238,0.5803,0.5742,0.0062,0.0062,,
wt,amp,RAC1,20,98,160,258,0.5642,0.5581,0.0061,0.0061,,
lof,amp,EPHB1,20,66,189,255,0.5789,0.5728,0.0061,0.0061,,
lof,lof,NT5C2,20,60,200,260,0.5672,0.5733,-0.0061,0.0061,,
lof,lof,EPHA3,20,59,174,233,0.5764,0.5703,0.0061,0.0061,,
wt,lof,SDHB,20,31,222,253,0.5634,0.5573,0.0061,0.0061,,
wt,amp,KLF5,20,25,197,222,0.5668,0.5607,0.0061,0.0061,,
lof,lof,BCORL1,20,182,75,257,0.5734,0.5674,0.006,0.006,,
lof,lof,XIAP,20,180,87,267,0.5762,0.5703,0.006,0.006,,
lof,lof,DUSP4,20,110,134,244,0.575,0.5689,0.006,0.006,,
lof,lof,RB1,20,102,130,232,0.5809,0.5749,0.006,0.006,,
wt,amp,EGFR,20,87,167,254,0.5611,0.5551,0.006,0.006,,
lof,lof,DIS3,20,82,146,228,0.5825,0.5765,0.006,0.006,,
lof,amp,SUZ12,20,55,170,225,0.5769,0.571,0.006,0.006,,
lof,amp,PPP2R1A,20,49,182,231,0.5691,0.575,-0.006,0.006,,
wt,lof,PDCD1LG2,20,46,197,243,0.5537,0.5597,-0.006,0.006,,
lof,amp,BCL11B,20,43,181,224,0.5773,0.5713,0.006,0.006,,
wt,lof,ARID1A,20,35,179,214,0.5561,0.5622,-0.006,0.006,,
wt,amp,ETV4,20,31,228,259,0.5651,0.5591,0.006,0.006,,
lof,amp,PMAIP1,20,27,117,144,0.5755,0.5695,0.006,0.006,,
lof,lof,NRG1,20,109,137,246,0.5767,0.5708,0.0059,0.0059,,
lof,lof,SETDB2,20,98,147,245,0.5786,0.5727,0.0059,0.0059,,
wt,amp,ELF3,20,86,169,255,0.5616,0.5557,0.0059,0.0059,,
lof,amp,E2F3,20,50,193,243,0.5655,0.5714,-0.0059,0.0059,,
lof,amp,DEK,20,47,195,242,0.568,0.574,-0.0059,0.0059,,
wt,lof,MIDEAS,20,40,189,229,0.5553,0.5612,-0.0059,0.0059,,
lof,lof,HLA-A,20,34,151,185,0.5663,0.5722,-0.0059,0.0059,,
lof,amp,EWSR1,20,31,166,197,0.5788,0.5729,0.0059,0.0059,,
lof,amp,CARD11,20,119,130,249,0.5754,0.5696,0.0058,0.0058,,
lof,lof,FLT3,20,93,144,237,0.5776,0.5718,0.0058,0.0058,,
lof,lof,ARID4A,20,44,171,215,0.5696,0.5754,-0.0058,0.0058,,
wt,lof,TNFAIP3,20,35,202,237,0.5537,0.5595,-0.0058,0.0058,,
wt,lof,PIK3CD,20,34,207,241,0.5623,0.5565,0.0058,0.0058,,
lof,amp,FLT3,20,32,144,176,0.5659,0.5718,-0.0058,0.0058,,
lof,amp,NRG1,20,27,137,164,0.5766,0.5708,0.0058,0.0058,,
wt,amp,SF3B1,20,26,225,251,0.5542,0.56,-0.0058,0.0058,,
wt,amp,LAX1,20,87,171,,0.5621,0.5563,0.0058,0.005798988,,
wt,lof,ARAF,20,164,88,252,0.5621,0.5564,0.0057,0.0057,,
lof,lof,STK11,20,90,172,262,0.5749,0.5693,0.0057,0.0057,,
lof,lof,NSD2,20,68,170,238,0.5688,0.5746,-0.0057,0.0057,,
lof,lof,SGK1,20,62,186,248,0.5678,0.5735,-0.0057,0.0057,,
lof,amp,ARHGAP35,20,47,182,229,0.5671,0.5729,-0.0057,0.0057,,
lof,amp,BCL3,20,46,185,231,0.564,0.5696,-0.0057,0.0057,,
wt,lof,PRDM1,20,36,206,242,0.5594,0.5537,0.0057,0.0057,,
lof,amp,ALK,20,35,214,249,0.5707,0.5764,-0.0057,0.0057,,
lof,amp,SOCS1,20,35,200,235,0.5752,0.5695,0.0057,0.0057,,
lof,lof,MSH3,20,33,208,241,0.5766,0.5709,0.0057,0.0057,,
lof,lof,TRIM27,20,32,198,230,0.5694,0.5752,-0.0057,0.0057,,
lof,lof,SH2D1A,20,181,88,269,0.5783,0.5726,0.0056,0.0056,,
wt,amp,BRAF,20,89,140,229,0.5603,0.5547,0.0056,0.0056,,
lof,lof,YY1,20,42,189,231,0.5655,0.5711,-0.0056,0.0056,,
wt,lof,EWSR1,20,39,205,244,0.5609,0.5553,0.0056,0.0056,,
lof,amp,INTS6,20,32,148,180,0.5642,0.5699,-0.0056,0.0056,,
wt,lof,BACH2,20,32,213,245,0.5629,0.5574,0.0056,0.0056,,
wt,amp,ERBB3,20,28,217,245,0.5625,0.5569,0.0056,0.0056,,
wt,lof,AR,20,163,88,251,0.5605,0.555,0.0055,0.0055,,
lof,lof,MLLT10,20,68,178,246,0.5743,0.5688,0.0055,0.0055,,
lof,lof,ID3,20,64,189,253,0.5761,0.5706,0.0055,0.0055,,
wt,amp,PPM1D,20,61,196,257,0.5632,0.5578,0.0055,0.0055,,
lof,lof,BCL10,20,41,191,232,0.573,0.5675,0.0055,0.0055,,
wt,lof,PTEN,20,33,192,225,0.5661,0.5606,0.0055,0.0055,,
wt,lof,EPHA7,20,31,203,234,0.5623,0.5568,0.0055,0.0055,,
lof,lof,AFF4,20,29,202,231,0.5773,0.5718,0.0055,0.0055,,
lof,lof,MAP2K2,20,92,171,263,0.5766,0.5712,0.0054,0.0054,,
lof,lof,PAK5,20,38,154,192,0.5653,0.5707,-0.0054,0.0054,,
lof,lof,RAD51B,20,38,180,218,0.566,0.5715,-0.0054,0.0054,,
lof,amp,LATS1,20,27,172,199,0.5668,0.5722,-0.0054,0.0054,,
wt,amp,OPTC,20,87,172,,0.5621,0.5568,0.0054,0.005388285,,
wt,lof,ATRX,20,165,86,251,0.5616,0.5564,0.0053,0.0053,,
lof,amp,PIK3CG,20,84,153,237,0.5752,0.5699,0.0053,0.0053,,
lof,amp,GSK3B,20,61,199,260,0.5787,0.5734,0.0053,0.0053,,
lof,amp,BLM,20,49,190,239,0.5681,0.5733,-0.0053,0.0053,,
lof,lof,HTATIP2,20,48,196,244,0.5635,0.5687,-0.0053,0.0053,,
lof,lof,CSF3R,20,45,192,237,0.5776,0.5723,0.0053,0.0053,,
wt,lof,ARID4A,20,36,196,232,0.5586,0.5639,-0.0053,0.0053,,
wt,lof,TGFBR2,20,34,214,248,0.568,0.5626,0.0053,0.0053,,
lof,amp,AGO1,20,28,198,226,0.5705,0.5758,-0.0053,0.0053,,
lof,lof,CUX1,20,25,155,180,0.5808,0.5755,0.0053,0.0053,,
lof,amp,PLEKHA6,20,78,174,,0.5661,0.5714,-0.0053,0.005271384,,
lof,amp,NUF2,20,94,173,267,0.572,0.5772,-0.0052,0.0052,,
lof,amp,RUNX1T1,20,88,165,253,0.579,0.5738,0.0052,0.0052,,
wt,amp,EZH2,20,88,152,240,0.5565,0.5513,0.0052,0.0052,,
lof,lof,ARID3A,20,86,172,258,0.5764,0.5712,0.0052,0.0052,,
wt,amp,ZNF750,20,61,197,258,0.5605,0.5553,0.0052,0.0052,,
lof,lof,MTOR,20,51,176,227,0.5733,0.5682,0.0052,0.0052,,
lof,lof,IRF4,20,47,179,226,0.5787,0.5735,0.0052,0.0052,,
lof,amp,RBM15,20,47,187,234,0.5731,0.5678,0.0052,0.0052,,
wt,lof,CHEK2,20,46,202,248,0.5605,0.5553,0.0052,0.0052,,
lof,amp,TSC1,20,45,189,234,0.5773,0.5721,0.0052,0.0052,,
wt,lof,TSHR,20,42,192,234,0.5563,0.5615,-0.0052,0.0052,,
lof,amp,MSI1,20,30,229,259,0.5642,0.5694,-0.0052,0.0052,,
wt,lof,TFE3,20,165,87,252,0.5606,0.5555,0.0051,0.0051,,
lof,lof,SERPINB3,20,128,115,243,0.5764,0.5712,0.0051,0.0051,,
lof,amp,CD79A,20,44,188,232,0.568,0.5731,-0.0051,0.0051,,
lof,lof,EGFL7,20,33,189,222,0.5657,0.5708,-0.0051,0.0051,,
wt,lof,HLA-A,20,31,162,193,0.5606,0.5555,0.0051,0.0051,,
wt,amp,ZC3H11A,20,87,172,,0.5608,0.5558,0.0050,0.005034891,,
lof,lof,NKX3-1,20,117,138,255,0.5766,0.5716,0.005,0.005,,
lof,lof,SS18,20,90,156,246,0.5745,0.5694,0.005,0.005,,
lof,amp,H1-4,20,45,197,242,0.5686,0.5737,-0.005,0.005,,
lof,amp,DICER1,20,44,178,222,0.5771,0.5721,0.005,0.005,,
lof,lof,TSC1,20,38,189,227,0.5671,0.5721,-0.005,0.005,,
lof,lof,IGF1R,20,32,188,220,0.5757,0.5707,0.005,0.005,,
lof,lof,INSR,20,78,173,251,0.5762,0.5713,0.0049,0.0049,,
lof,amp,MYCN,20,44,206,250,0.5773,0.5724,0.0049,0.0049,,
wt,lof,XBP1,20,42,209,251,0.5606,0.5557,0.0049,0.0049,,
wt,lof,MAX,20,38,203,241,0.555,0.5599,-0.0049,0.0049,,
wt,amp,STAT5A,20,25,229,254,0.5643,0.5594,0.0049,0.0049,,
lof,amp,NBN,20,84,173,257,0.5763,0.5715,0.0048,0.0048,,
lof,amp,POT1,20,81,153,234,0.5749,0.5701,0.0048,0.0048,,
lof,amp,MGAM,20,77,143,220,0.5716,0.5764,-0.0048,0.0048,,
wt,lof,ESR1,20,51,198,249,0.56,0.5552,0.0048,0.0048,,
lof,amp,MAX,20,49,182,231,0.5777,0.5729,0.0048,0.0048,,
lof,amp,PHF19,20,48,190,238,0.5765,0.5717,0.0048,0.0048,,
lof,amp,ERCC2,20,47,180,227,0.5658,0.5706,-0.0048,0.0048,,
wt,lof,PDGFB,20,40,201,241,0.5609,0.5561,0.0048,0.0048,,
wt,lof,BMPR1A,20,29,217,246,0.5621,0.5573,0.0048,0.0048,,
wt,lof,PGR,20,29,195,224,0.5619,0.5571,0.0048,0.0048,,
lof,lof,REV3L,20,77,159,236,0.5683,0.5636,0.0047,0.0047,,
