TP53 Background,Test Condition,Gene Name,Number of cell lines sampled in each bootstrap,Number of test condition cell lines,Number of wild type cell lines,Total,BM mean in test condition,BM mean in wild-type condition,Difference,Absolute Difference,Two-sided t-test p-value,Bonferroni corrected p-value
wt,amp,SOX2,20,45,210,255,0.5722,0.5514,0.0208,0.0208,,
wt,lof,RHOA,20,43,209,252,0.5772,0.5565,0.0208,0.0208,,
lof,amp,PTPRD,20,33,116,149,0.5809,0.5601,0.0208,0.0208,,
wt,amp,MBD4,20,33,223,256,0.5802,0.5595,0.0207,0.0207,,
lof,lof,MST1,20,111,150,261,0.5864,0.5658,0.0206,0.0206,,
wt,amp,RTEL1,20,93,157,250,0.5731,0.5525,0.0206,0.0206,,
lof,amp,CRBN,20,36,164,200,0.5884,0.5677,0.0206,0.0206,,
wt,amp,INPPL1,20,26,211,237,0.5777,0.5571,0.0206,0.0206,,
lof,amp,RAD50,20,35,207,242,0.5884,0.5679,0.0205,0.0205,,
lof,amp,NKX2-1,20,48,179,227,0.5877,0.5673,0.0204,0.0204,,
lof,amp,BCL10,20,42,191,233,0.5879,0.5675,0.0204,0.0204,,
wt,amp,FGF3,20,34,224,258,0.5757,0.5553,0.0204,0.0204,,
lof,amp,GATA3,20,32,166,198,0.5869,0.5665,0.0204,0.0204,,
wt,lof,PTPN2,20,26,220,246,0.5759,0.5555,0.0204,0.0204,,
lof,amp,HIF1A,20,53,173,226,0.5883,0.568,0.0203,0.0203,,
wt,amp,MECOM,20,50,190,240,0.5757,0.5555,0.0203,0.0203,,
wt,lof,ATRIP,20,42,214,256,0.5759,0.5556,0.0203,0.0203,,
wt,amp,NRAS,20,27,200,227,0.5812,0.5609,0.0203,0.0203,,
lof,amp,TRIP13,20,104,158,262,0.5848,0.5646,0.0202,0.0202,,
lof,amp,BRCA1,20,65,173,238,0.5824,0.5622,0.0202,0.0202,,
lof,amp,APLNR,20,57,197,254,0.5872,0.567,0.0202,0.0202,,
wt,lof,FLT3,20,38,192,230,0.5738,0.5536,0.0202,0.0202,,
lof,amp,ERCC4,20,31,202,233,0.584,0.5638,0.0202,0.0202,,
lof,amp,PIK3CA,20,97,156,253,0.5837,0.5636,0.0201,0.0201,,
wt,amp,NBN,20,76,168,244,0.5717,0.5516,0.0201,0.0201,,
lof,amp,CMTR2,20,45,175,220,0.5924,0.5723,0.0201,0.0201,,
lof,amp,CD274,20,37,130,167,0.5815,0.5614,0.0201,0.0201,,
lof,amp,MBD6,20,33,216,249,0.5907,0.5706,0.0201,0.0201,,
lof,lof,FAS,20,55,203,258,0.5584,0.5784,-0.02,0.02,,
lof,amp,ANKRD11,20,48,141,189,0.5963,0.5763,0.02,0.02,,
wt,lof,MYD88,20,35,222,257,0.5758,0.5559,0.02,0.02,,
wt,amp,ABL1,20,25,214,239,0.5775,0.5574,0.02,0.02,,
wt,amp,DNMT3B,20,83,167,250,0.5723,0.5524,0.0199,0.0199,,
wt,lof,NKX3-1,20,57,182,239,0.5752,0.5552,0.0199,0.0199,,
lof,lof,TSC2,20,51,185,236,0.5883,0.5684,0.0199,0.0199,,
lof,lof,NRAS,20,36,183,219,0.5891,0.5692,0.0199,0.0199,,
wt,lof,NRG1,20,51,176,227,0.5737,0.5539,0.0198,0.0198,,
lof,amp,LRP6,20,50,185,235,0.5858,0.566,0.0198,0.0198,,
lof,lof,MOB3B,20,103,138,241,0.5836,0.5639,0.0197,0.0197,,
lof,amp,NFKBIA,20,49,183,232,0.5871,0.5673,0.0197,0.0197,,
wt,amp,FGF4,20,34,220,254,0.5757,0.556,0.0197,0.0197,,
wt,amp,PTPN1,20,98,164,262,0.5703,0.5507,0.0196,0.0196,,
wt,amp,TERT,20,78,155,233,0.5714,0.5518,0.0196,0.0196,,
lof,amp,PTPN2,20,51,159,210,0.5879,0.5683,0.0196,0.0196,,
wt,amp,NOTCH1,20,29,189,218,0.5721,0.5524,0.0196,0.0196,,
wt,amp,CCND1,20,34,227,261,0.5757,0.5562,0.0195,0.0195,,
wt,lof,SETD2,20,43,190,233,0.5752,0.5559,0.0193,0.0193,,
wt,lof,MST1R,20,42,205,247,0.5746,0.5553,0.0193,0.0193,,
wt,amp,FGF19,20,34,226,260,0.5757,0.5564,0.0193,0.0193,,
lof,amp,CCND1,20,90,170,260,0.5844,0.5652,0.0192,0.0192,,
wt,lof,PMAIP1,20,59,200,259,0.5724,0.5532,0.0192,0.0192,,
wt,amp,LRP6,20,38,197,235,0.5765,0.5574,0.0191,0.0191,,
lof,amp,ERBB2,20,76,171,247,0.5851,0.5661,0.019,0.019,,
lof,amp,CTCF,20,48,177,225,0.5929,0.5739,0.019,0.019,,
lof,amp,ID1,20,120,154,274,0.5835,0.5646,0.0189,0.0189,,
lof,amp,EZH1,20,64,182,246,0.5843,0.5653,0.0189,0.0189,,
lof,amp,ARID5B,20,36,184,220,0.5888,0.5699,0.0189,0.0189,,
lof,lof,PTEN,20,58,188,246,0.5589,0.5777,-0.0188,0.0188,,
lof,lof,SLFN11,20,45,171,216,0.5867,0.5679,0.0188,0.0188,,
wt,amp,HMGA2,20,40,222,262,0.5748,0.556,0.0188,0.0188,,
lof,amp,IKZF3,20,75,175,250,0.5849,0.5662,0.0187,0.0187,,
wt,amp,NR4A3,20,27,217,244,0.5738,0.5551,0.0187,0.0187,,
lof,amp,SOX17,20,68,166,234,0.5851,0.5665,0.0186,0.0186,,
lof,lof,VHL,20,62,180,242,0.5805,0.5619,0.0186,0.0186,,
lof,amp,FOXF1,20,45,173,218,0.591,0.5724,0.0185,0.0185,,
wt,lof,MST1,20,43,210,253,0.576,0.5575,0.0185,0.0185,,
wt,lof,FLT1,20,38,194,232,0.5738,0.5554,0.0185,0.0185,,
wt,amp,RAD21,20,83,172,255,0.572,0.5536,0.0184,0.0184,,
wt,amp,H3-3A,20,80,178,258,0.57,0.5517,0.0184,0.0184,,
lof,amp,STAT3,20,63,187,250,0.5842,0.5658,0.0184,0.0184,,
lof,lof,IRF8,20,57,171,228,0.5607,0.5791,-0.0184,0.0184,,
lof,amp,BCR,20,40,154,194,0.5907,0.5723,0.0184,0.0184,,
lof,amp,JAK2,20,37,128,165,0.5815,0.563,0.0184,0.0184,,
wt,amp,SETDB1,20,91,160,251,0.5691,0.5508,0.0183,0.0183,,
lof,lof,SHQ1,20,89,156,245,0.5824,0.5641,0.0183,0.0183,,
lof,lof,BMPR1A,20,51,202,253,0.5595,0.5779,-0.0183,0.0183,,
lof,amp,PLCG2,20,46,164,210,0.5928,0.5745,0.0183,0.0183,,
wt,lof,SERPINB3,20,58,194,252,0.5718,0.5536,0.0182,0.0182,,
lof,lof,KMT2C,20,41,112,153,0.5852,0.567,0.0182,0.0182,,
wt,lof,CRBN,20,39,206,245,0.575,0.5568,0.0182,0.0182,,
lof,amp,NFE2,20,31,229,260,0.5928,0.5745,0.0182,0.0182,,
wt,lof,BCL2,20,58,196,254,0.5718,0.5536,0.0181,0.0181,,
lof,amp,NTRK2,20,33,185,218,0.5855,0.5674,0.0181,0.0181,,
wt,amp,RPS6KB2,20,31,227,258,0.5774,0.5593,0.0181,0.0181,,
lof,amp,REV3L,20,25,159,184,0.5817,0.5636,0.0181,0.0181,,
lof,amp,MAP3K13,20,90,169,259,0.5836,0.5657,0.018,0.018,,
lof,lof,FOXP1,20,89,156,245,0.5844,0.5665,0.018,0.018,,
wt,lof,SDHD,20,50,201,251,0.5701,0.5521,0.018,0.018,,
wt,lof,IRS2,20,35,157,192,0.5685,0.5505,0.018,0.018,,
lof,amp,FOXL2,20,72,188,260,0.5836,0.5657,0.0179,0.0179,,
wt,amp,PLCG1,20,89,153,242,0.5705,0.5527,0.0178,0.0178,,
wt,amp,RUNX1T1,20,77,166,243,0.572,0.5543,0.0177,0.0177,,
wt,amp,IL7R,20,70,188,258,0.5737,0.5559,0.0177,0.0177,,
wt,amp,MAP3K13,20,48,200,248,0.5749,0.5573,0.0177,0.0177,,
wt,amp,EIF4A2,20,45,205,250,0.576,0.5584,0.0177,0.0177,,
lof,lof,RHOA,20,109,152,261,0.5823,0.5647,0.0176,0.0176,,
wt,lof,CDK8,20,39,202,241,0.573,0.5555,0.0176,0.0176,,
wt,lof,YES1,20,29,211,240,0.5767,0.5591,0.0176,0.0176,,
lof,amp,SQSTM1,20,60,191,251,0.5859,0.5684,0.0175,0.0175,,
lof,lof,SETD2,20,106,142,248,0.5813,0.5639,0.0174,0.0174,,
wt,amp,EGR1,20,42,207,249,0.5739,0.5565,0.0174,0.0174,,
wt,lof,BRCA2,20,40,172,212,0.5734,0.556,0.0174,0.0174,,
wt,amp,BLM,20,31,219,250,0.5721,0.5547,0.0174,0.0174,,
lof,amp,LATS2,20,29,140,169,0.5573,0.5747,-0.0174,0.0174,,
wt,amp,ESCO2,20,27,177,204,0.5688,0.5514,0.0174,0.0174,,
lof,lof,KDM6A,20,211,56,267,0.5755,0.5582,0.0172,0.0172,,
lof,amp,AURKA,20,125,146,271,0.5832,0.566,0.0172,0.0172,,
lof,lof,MLLT3,20,115,132,247,0.5802,0.5631,0.0171,0.0171,,
lof,lof,PAX5,20,78,160,238,0.583,0.5659,0.0171,0.0171,,
lof,amp,KDM5A,20,56,171,227,0.5854,0.5683,0.0171,0.0171,,
wt,amp,LRP5,20,31,213,244,0.5743,0.5572,0.0171,0.0171,,
wt,amp,CD276,20,29,223,252,0.5709,0.5537,0.0171,0.0171,,
lof,lof,PIGA,20,196,68,264,0.5797,0.5627,0.017,0.017,,
lof,lof,CDKN2B,20,154,103,257,0.5766,0.5597,0.017,0.017,1.70E-33,2.04E-32
lof,lof,HLA-B,20,31,153,184,0.5553,0.5723,-0.017,0.017,,
wt,lof,SS18,20,31,218,249,0.5725,0.5555,0.017,0.017,,
lof,amp,KMT2D,20,28,181,209,0.5872,0.5702,0.017,0.017,,
lof,amp,CDK12,20,68,176,244,0.5797,0.5628,0.0169,0.0169,,
wt,amp,NOTCH2,20,39,192,231,0.5757,0.5588,0.0169,0.0169,,
wt,amp,TGFBR1,20,26,217,243,0.5743,0.5574,0.0169,0.0169,,
lof,lof,ARAF,20,211,56,267,0.5777,0.561,0.0168,0.0168,,
lof,lof,MST1R,20,113,144,257,0.5804,0.5636,0.0168,0.0168,,
wt,amp,PTPRT,20,93,143,236,0.5698,0.553,0.0168,0.0168,,
wt,lof,INTS6,20,42,196,238,0.5725,0.5557,0.0168,0.0168,,
lof,amp,FANCC,20,39,181,220,0.583,0.5661,0.0168,0.0168,,
wt,amp,ZBTB20,20,30,209,239,0.5736,0.5568,0.0168,0.0168,,
wt,amp,MCL1,20,92,170,262,0.5709,0.5542,0.0167,0.0167,,
wt,amp,TOP1,20,89,164,253,0.5705,0.5538,0.0167,0.0167,,
lof,lof,SP140,20,36,223,259,0.5605,0.5772,-0.0167,0.0167,,
wt,lof,NSD2,20,31,195,226,0.5763,0.5596,0.0167,0.0167,,
lof,amp,TBL1XR1,20,97,169,266,0.5825,0.5659,0.0166,0.0166,,
lof,amp,SOX2,20,94,172,266,0.5846,0.568,0.0166,0.0166,,
lof,lof,POLD1,20,36,186,222,0.5603,0.577,-0.0166,0.0166,,
lof,amp,MLLT3,20,30,132,162,0.5797,0.5631,0.0166,0.0166,,
lof,amp,MOB3B,20,32,138,170,0.5804,0.5639,0.0165,0.0165,,
lof,lof,ATRIP,20,110,149,259,0.5803,0.564,0.0164,0.0164,,
lof,lof,PBRM1,20,107,149,256,0.5807,0.5643,0.0164,0.0164,,
wt,amp,WWP1,20,74,172,246,0.5723,0.5559,0.0164,0.0164,,
wt,amp,TSC1,20,25,218,243,0.5691,0.5527,0.0164,0.0164,,
wt,amp,CARD11,20,95,150,245,0.5701,0.5538,0.0163,0.0163,,
wt,amp,TRIM27,20,29,217,246,0.5733,0.557,0.0163,0.0163,,
wt,amp,PPP6C,20,27,219,246,0.5739,0.5576,0.0163,0.0163,,
wt,amp,ASXL1,20,83,163,246,0.5714,0.5552,0.0162,0.0162,,
lof,lof,FANCD2,20,62,173,235,0.5805,0.5643,0.0162,0.0162,,
lof,amp,ETV6,20,51,179,230,0.5841,0.5679,0.0162,0.0162,,
lof,amp,POLD1,20,45,186,231,0.5607,0.577,-0.0162,0.0162,,
lof,lof,NTRK3,20,33,187,220,0.5857,0.5695,0.0162,0.0162,,
lof,lof,CRBN,20,73,164,237,0.5838,0.5677,0.0161,0.0161,,
lof,amp,CDH1,20,47,168,215,0.5865,0.5705,0.0161,0.0161,,
lof,amp,AJUBA,20,41,184,225,0.5814,0.5653,0.0161,0.0161,,
wt,lof,FOXO1,20,38,197,235,0.5718,0.5556,0.0161,0.0161,,
wt,amp,H2AC17,20,30,217,247,0.5713,0.5553,0.0161,0.0161,,
wt,lof,ATXN7,20,44,195,239,0.5721,0.5561,0.016,0.016,,
wt,amp,FBXO11,20,34,217,251,0.5444,0.5603,-0.016,0.016,,
lof,lof,RBM10,20,211,55,266,0.5777,0.5618,0.0159,0.0159,,
